"","conflictid","dyadid","outcome_d","fightcaphigh","coup","land","lngdp","lnyears","postCW","year","Government","Opposition","side_a","side_b","startdate","enddate","rebpolwinglegal","rebestimate","rebel.support","rtypesup","gov.support","gtypesup","rebel.support_dummy","gov.support_dummy","rtypesup_cat","gtypesup_cat"
"114",63,726,3,0,0,0,8.185364,0,0,1986,"Lebanon","Lebanese Forces - Hobeika faction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",64,585,0,0,0,0,8.548965,3.178054,0,1981,"Malaysia","CPM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",64,585,0,0,0,0,7.495953,1.098612,0,1960,"Malaysia","CPM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",64,585,0,0,0,0,8.217185,2.890372,0,1975,"Malaysia","CPM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",65,382,0,0,0,0,7.168125,0.6931472,1,1990,"Laos","LRM","Laos","LRM","1989-12-01","1990-12-31","no",4000,"explicit","military","explicit","military",1,1,"2",2
"119",65,734,1,1,0,0,6.897028,2.70805,0,1973,"Laos","Pathet Lao","Laos, United States, Thailand, South Vietnam","Pathet Lao","1959-11-12","1973-02-22","no",48000,"explicit","troops","explicit","troops",1,1,"1",1
"120",65,736,0,0,0,0,6.894417,0,0,1960,"Laos","Neutralists","Laos, Thailand","Neutrals","1960-12-10","1960-12-31","no",1200,"explicit","military","explicit","troops",1,1,"2",1
"121",66,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portugal","MPLA","1961-02-04","1974-07-31",NA,NA,"explicit","military","explicit","military",1,1,"2",2
"122",66,739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portugal","FNLA","1961-02-04","1974-07-31",NA,NA,"explicit","military","explicit","military",1,1,"2",2
"123",66,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portugal","UNITA","1966-12-01","1967-12-31",NA,NA,"explicit","military","explicit","military",1,1,"2",2
"124",67,308,0,0,0,1,6.494177,1.386294,0,1988,"Myanmar","MTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",67,308,2,0,0,1,6.77588,2.397895,1,1995,"Myanmar","MTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",67,746,0,0,0,1,6.379376,2.302585,0,1973,"Myanmar","SSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",67,747,0,0,0,1,6.396263,0.6931472,0,1970,"Myanmar","SURA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",67,748,0,0,0,1,6.396263,0.6931472,0,1970,"Myanmar","SSNLO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",67,750,0,0,0,1,6.429203,0,0,1976,"Myanmar","SSRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",67,751,0,0,0,1,6.734104,0,0,1984,"Myanmar","TRC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",68,587,3,1,0,1,6.734104,1.098612,0,1962,"Democratic Republic of Congo (Zaire)","State of Katanga","Democratic Republic of Congo (Zaire)","Katanga","1960-07-01","1962-12-30","no",13500,"explicit","troops","explicit","troops",1,1,"1",1
"132",69,588,3,0,0,1,6.734104,1.098612,0,1962,"Democratic Republic of Congo (Zaire)","Independent Mining State of South Kasai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",70,48,1,0,0,0,6.078032,1.098612,1,1991,"Ethiopia","EPRDF","Ethiopia","EPRDF","1989-01-08","1991-12-31",NA,70000,"explicit","military","explicit","military",1,1,"2",2
"134",70,49,3,0,1,0,6.064483,0,0,1989,"Ethiopia","Military faction (forces of Amsha Desta and Merid Negusie)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",70,50,0,0,0,0,5.90039,1.386294,0,1987,"Ethiopia","EPRP","Ethiopia","EPRP","1984-01-01","1987-12-31","no",NA,"explicit","military","explicit","military",1,1,"2",2
"136",70,50,0,0,0,0,5.90039,1.386294,0,1987,"Ethiopia","EPRP","Ethiopia","EPRP","1976-12-02","1977-12-31","no",NA,"explicit","military","explicit","military",1,1,"2",2
"137",70,50,0,0,0,0,6.19363,0.6931472,0,1977,"Ethiopia","EPRP","Ethiopia","EPRP","1984-01-01","1987-12-31","no",NA,"explicit","military","explicit","military",1,1,"2",2
"138",70,50,0,0,0,0,6.19363,0.6931472,0,1977,"Ethiopia","EPRP","Ethiopia","EPRP","1976-12-02","1977-12-31","no",NA,"explicit","military","explicit","military",1,1,"2",2
"139",70,754,0,0,0,0,6.172786,0.6931472,0,1978,"Ethiopia","EDU","Ethiopia","EDU","1977-01-01","1978-12-31",NA,10000,"explicit","non-military","explicit","military",1,1,"3",2
"140",70,755,3,0,1,0,5.991664,0,0,1960,"Ethiopia","Military faction (forces of Mengistu Neway)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",72,349,2,0,0,0,NA,2.397895,1,2006,"Nepal","CPN–M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",72,652,3,0,0,0,6.680202,1.098612,0,1962,"Nepal","Nepali Congress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",73,584,3,0,0,0,9.148196,0.6931472,0,1962,"France","OAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",74,279,0,0,0,1,7.708451,2.70805,0,1975,"Iraq","KDP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",74,279,0,0,0,1,6.832385,3.433987,1,1991,"Iraq","KDP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",74,285,0,0,0,1,7.58765,3.044523,1,1996,"Iraq","PUK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",74,653,0,0,0,1,8.093258,0.6931472,0,1978,"Iraq","KDP–QM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",78,53,1,0,0,1,6.078032,2.944439,1,1991,"Ethiopia","EPLF","Ethiopia","EPLF","1973-09-01","1974-12-31",NA,30000,"explicit","military","explicit","military",1,1,"2",2
"149",78,53,1,0,0,1,6.078032,2.944439,1,1991,"Ethiopia","EPLF","Ethiopia","EPLF","1975-01-01","1991-05-28",NA,30000,"explicit","military","explicit","military",1,1,"2",2
"150",78,667,3,0,0,1,6.225152,2.833213,0,1980,"Ethiopia","ELF","Ethiopia","ELF","1964-03-15","1974-12-31",NA,12500,"explicit","military","explicit","military",1,1,"2",2
"151",80,475,3,0,1,0,9.031911,0,1,1992,"Venezuela","Military faction (forces of Hugo Chávez)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",80,672,3,0,1,0,8.761475,0,0,1962,"Venezuela","Military faction (navy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",80,778,3,0,0,0,9.041412,0,0,1982,"Venezuela","Bandera Roja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",83,586,3,0,0,1,7.726371,1.386294,0,1966,"Malaysia","CCO","Malaysia","CCO","1963-01-01","1966-08-11","no",NA,"explicit","troops","explicit","troops",1,1,"1",1
